name,nameI,continent,countryI,launch,launchI,type,typeI,restraint,restraintI,designer,designerI,construction,constructionI
Seven Dwarfs Mine Train,219,Asia,1,Chain lift hill,4,Family,22,Lap bar,2,Vekoma,50,Steel,5
Steel Dragon 2000,220,Asia,1,Chain lift hill,4,Giga,34,Lap bar,2,Morgan,33,Steel,5
Steel Eel,221,NorthAm,3,Chain lift hill,4,Megacoaster,63,Lap bar,2,Morgan,33,Steel,5
Orkanen,222,Europe,2,Booster wheel lift hill,1,0,0,Shoulder harness,5,Vekoma,50,0,0
Batman The Ride,223,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
"Hollywood Rip, Ride, Rockit",224,NorthAm,3,Chain lift hill,4,X Car,97,Lap bar,2,Maurer,31,Steel,5
Kirnu,225,Europe,2,Chain lift hill,4,ZacSpin,99,Shoulder harness,5,Intamin,22,Steel,5
Wild West Mine Train,226,Asia,1,0,0,Mine Train,65,Lap bar,2,Zamperla,55,Steel,5
Lightning Racer (Thunder),227,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Van Helsing's Factory,228,Europe,2,Chain lift hill,4,Indoor,40,Lap bar,2,Gerstlauer,18,Steel,5
Flight of the Pterosaur,229,Europe,2,0,0,0,0,None,3,Vekoma,50,0,0
Sky Wheel,230,Europe,2,Chain lift hill,4,X Car,97,Lap bar,2,Maurer,31,Steel,5
Big Thunder Mountain Railroad,231,NorthAm,3,Chain lift hill,4,Mine Train,65,Lap bar,2,Arrow,2,Steel,5
Vampire,232,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Joker's Jinx,233,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Multielement,53,Lap bar,2,Premier Rides,37,Steel,5
Goliath,234,NorthAm,3,Chain lift hill,4,Hypercoaster,39,Lap bar,2,Giovanola,19,Steel,5
Lightning Racer (Lightning),235,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Jetline,236,Europe,2,Chain lift hill,4,Freeform,31,Lap bar,2,Schwarzkopf,45,Steel,5
Joker,237,NorthAm,3,Chain lift hill,4,Free Spin,30,Shoulder harness,5,S&S,42,Steel,5
Thunder Loop,238,Europe,2,Chain lift hill,4,Looper,57,Lap bar,2,Schwarzkopf,45,Steel,5
Psyké underground,239,Europe,2,Magnetic Launch (LIM/LSM),14,"Shuttle, Looper",80,Lap bar,2,Schwarzkopf,45,Steel,5
Magnum XL 200,240,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,Arrow,2,Steel,5
