name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Intimidator 305,Kings Dominion,North America,Intamin,Steel,Shoulder harness,2010,Cable lift hill,Giga,305.1144,0,90.098795,5101.644,95.8
Flying Dinosaur,Universal Studios Japan,Asia,B&M,Steel,Flying restraint,2016,Chain lift hill,,124.6704,5,,3687.6192,95.8
Flying Aces,Ferrari World,Asia,Intamin,Steel,Lap bar,2016,Cable lift hill,,206.6904,1,74.56452,4921.2,95.4
Phoenix,Knoebels,North America,Philadelphia Toboggan Coaster,Wooden,Lap bar,1985,Chain lift hill,Out & Back,78.7392,0,44.738712,3198.78,95.3
Time Traveler,Silver Dollar City,North America,Mack,Steel,Lap bar,2018,Magnetic Launch (LIM/LSM),Launched Spinning,98.424,3,49.70968,3018.336,95.2
Millennium Force,Cedar Point,North America,Intamin,Steel,Lap bar,2000,Cable lift hill,Giga,308.3952,0,93.20565,6594.408,95.2
Mako,SeaWorld Orlando,North America,B&M,Steel,Lap bar,2016,Chain lift hill,"Hyper, Out & Back",200.1288,0,71.457665,4757.16,94.9
Griffon,Busch Gardens Williamsburg,North America,B&M,Steel,Shoulder harness,2007,Chain lift hill,Dive,203.4096,2,74.56452,3116.76,94.6
Goliath,Walibi Holland,Europe,Intamin,Steel,Lap bar,2002,Cable lift hill,Megacoaster,154.1976,0,65.865326,3982.8912,94.5
Joker,Six Flags Discovery Kingdom,North America,RMC,Hybrid,Lap bar,2016,Chain lift hill,,101.7048,3,52.816535,3198.78,94.3
Balder,Liseberg,Europe,Intamin,Wooden,Lap bar,2003,Chain lift hill,Twister,118.1088,0,55.92339,3510.456,94.3
Lightning Run,Kentucky Kingdom,North America,Chance Rides,Steel,Lap bar,2014,Chain lift hill,,101.7048,0,55.92339,2509.812,94
Nemesis,Alton Towers,Europe,B&M,Steel,Shoulder harness,,Chain lift hill,Terrain,42.6504,4,50.331051,2349.0528,93.9
Schwur des Kärnan,Hansa Park,Europe,Gerstlauer,Steel,Lap bar,2015,Chain lift hill,Infinity,239.4984,1,78.914117,4051.788,93.6
OzIris,Parc Asterix,Europe,B&M,Steel,Shoulder harness,2012,Chain lift hill,,131.232,5,56.544761,3280.8,93.6
Goliath,Six Flags Over Georgia,North America,B&M,Steel,Lap bar,2006,Chain lift hill,Hyper,200.1288,0,69.593552,4478.292,93.4
New Texas Giant,Six flags Over Texas,North America,RMC,Hybrid,Lap bar,2011,Chain lift hill,,154.1976,0,65.243955,4199.424,93.2
