continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
2,50,5,2,2007,4,23,42.6504,0,0.4018142819404602,964.5552,32.5
3,35,9,2,1975,4,1.2891212701797485,85.3008,0,55.92339,3369.3816,32.3
3,55,5,0.5363013744354248,2011,12,67,65.616,0,39.767744,1194.2112,32.3
2,36,5,5,2002,4,1.2891212701797485,65.616,2,43.49597,1312.32,32.0
2,29,5,5,1992,0.6916375160217285,14,19.6848,0,22.369356,1000.644,31.8
2,50,5,2,2005,13,1.2891212701797485,55.7736,0,52.195164,2109.5544,31.6
2,29,1,2,1998,0.6916375160217285,1.2891212701797485,2.51601505279541,0,27.961695,49.98610305786133,31.4
3,55,5,0.5363013744354248,2008,12,67,42.6504,0,37.28226,1312.32,31.4
2,36,5,2,1997,4,1.2891212701797485,68.8968,0,0.4018142819404602,2559.024,31.2
3,30,5,2,2004,4,1.2891212701797485,39.3696,0,32.311292,1364.8128,30.9
3,2,5,5,1987,4,1.2891212701797485,75.4584,0,39.767744,2821.488,30.8
2,29,5,2,1985,11,33,2.51601505279541,0,37.28226,984.24,30.3
3,2,5,2,2001,4,95,2.51601505279541,0,0.4018142819404602,1256.5464,30.0
2,56,5,2,2e3,1,1.2891212701797485,22.9656,0,24.85484,1181.088,29.9
2,47,5,2,32.40647888183594,4,22,39.3696,0,31.06855,1246.704,29.6
2,47,5,2,2004,4,1.2891212701797485,2.51601505279541,0,0.4018142819404602,49.98610305786133,29.4
2,29,5,2,1992,11,14,26.2464,0,22.369356,49.98610305786133,29.3
3,4,5,5,2012,4,1.2891212701797485,101.7048,2,55.302019,2900.2272,29.2
2,31,0.30698874592781067,2,2011,0.6916375160217285,1.2891212701797485,36.0888,0,22.369356,984.24,29.1
2,52,0.30698874592781067,3,2017,3,1.2891212701797485,82.02,0,24.85484,1607.592,29.1
3,17,5,2,1998,4,1.2891212701797485,88.5816,0,50.331051,3198.78,29.0
