name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
701,Six Flags St Louis,3,50,5,5,1989,4,57,108.2664,4,54.680648,2431.0728,5
703,Great Escape,3,2,5,5,1984,4,57,68.8968,3,43.49597,1601.0304,5
704,Six Flags New England,3,50,5,5,1997,4,81,111.5472,5,49.70968,2260.4712,4.9
705,Kentucky Kingdom,3,50,5,5,1995,4,88,101.7048,5,49.70968,2171.8896,4.2
707,Six Flags St Louis,3,50,5,5,2013,4,7,118.1088,3,46.602825,875.9736,4
708,Movie Park Germany,2,50,5,5,2001,4,88,108.2664,5,49.70968,2260.4712,3.8
710,Six Flags America,3,50,5,5,1995,4,81,108.2664,5,49.70968,2260.4712,3.2
711,Six Flags Discovery Kingdom,3,50,5,5,1998,4,78,118.1088,3,47.224196,935.028,3.1
712,Worlds of Fun,3,50,5,5,2e3,3,76,118.1088,3,47.224196,935.028,3
714,Parque Warner Madrid,2,39,9,2,2002,4,91,118.1088,0,55.92339,4573.4352,3
715,Six Flags New England,3,50,5,5,2e3,4,78,118.1088,3,46.602825,875.9736,2.7
716,Heide Park,2,50,5,5,1999,4,88,108.2664,5,49.70968,2260.4712,2.7
717,La Ronde,3,50,5,5,1984,3,78,118.1088,3,47.224196,935.028,2.7
718,California's Great America,3,2,5,5,1976,4,57,101.7048,4,50.331051,2129.2392,2.6
720,Canada's Wonderland,3,55,5,1,2004,11,28,49.212,2,25.476211,1282.7928,1.4
721,Six Flags Discovery Kingdom,3,50,5,5,1998,4,81,111.5472,5,49.70968,2260.4712,0.6
723,Walibi Holland,2,50,5,5,1994,4,88,101.7048,5,49.70968,2171.8896,0.5
724,Wiener Prater,2,55,5,1,2004,15,28,68.8968,2,31.06855,1436.9904,0.3
