Name,Theirs,Ours
418,73.2,83.67900085449219
419,73.0,67.90892028808594
420,72.4,62.98982238769531
421,71.8,62.43361282348633
422,71.5,66.49735260009766
423,71.5,68.66636657714844
424,71.3,57.61676025390625
425,71.3,65.10128021240234
426,71.2,64.18087768554688
427,70.3,36.51169204711914
428,70.1,63.53502655029297
429,69.7,52.39448928833008
430,69.1,61.18263244628906
431,69.0,63.58563232421875
432,68.7,59.75326919555664
433,68.2,80.06419372558594
434,68.2,52.29018783569336
435,68.0,67.83468627929688
436,68.0,66.04949951171875
437,67.5,45.50050735473633
438,67.4,64.75926971435547
439,67.0,63.464088439941406
440,66.8,62.520084381103516
441,66.7,23.61797332763672
442,66.3,65.06168365478516
443,66.2,56.409812927246094
444,66.2,63.570098876953125
445,65.4,63.38461685180664
446,65.4,61.41492462158203
447,65.3,68.34652709960938
448,64.9,65.6341781616211
449,64.3,63.52881622314453
450,64.0,62.21511459350586
451,64.0,54.886932373046875
452,64.0,62.21511459350586
453,63.8,54.299468994140625
454,63.3,63.435665130615234
455,63.1,65.17980194091797
456,63.0,60.790775299072266
457,62.3,62.44413757324219
458,62.3,55.98021697998047
459,62.1,69.6434555053711
460,62.0,48.61237335205078
461,61.8,45.259246826171875
462,61.4,60.74233627319336
463,61.1,47.013240814208984
464,60.8,43.773189544677734
465,60.7,72.65129089355469
466,60.6,44.16017532348633
467,60.4,22.6984920501709
468,59.6,56.91057586669922
469,59.5,42.88334655761719
470,59.5,63.39216232299805
471,59.4,65.10432434082031
472,58.5,51.94735336303711
473,58.2,64.88307189941406
474,58.2,40.38603591918945
475,58.0,46.271366119384766
476,57.8,62.512901306152344
477,57.4,51.67316818237305
478,57.3,63.57941436767578
479,56.9,65.2475357055664
480,56.8,52.31126403808594
481,55.9,57.11840057373047
482,55.6,57.02103805541992
483,55.0,55.75889587402344
484,54.8,52.036746978759766
485,54.6,41.48246765136719
486,54.0,15.290863037109375
487,53.4,42.61323547363281
488,53.3,61.94026184082031
489,52.7,55.888816833496094
490,52.6,40.36359405517578
491,52.5,50.82865905761719
492,52.4,49.47602462768555
493,52.3,61.26119613647461
494,52.1,56.17683792114258
495,52.0,50.124595642089844
496,51.3,43.659629821777344
497,51.2,44.41162109375
498,51.1,54.13159942626953
499,50.4,56.18037796020508
500,50.4,46.928043365478516
501,50.2,43.465110778808594
502,50.2,48.72075271606445
503,49.9,54.85135269165039
504,49.8,45.6932258605957
505,49.7,42.60116195678711
506,49.7,43.577396392822266
507,49.6,61.55404281616211
508,49.5,42.60799026489258
509,49.2,56.29387283325195
510,48.9,47.646324157714844
511,48.7,44.450599670410156
512,48.6,56.034488677978516
513,48.3,53.71220397949219
514,48.3,40.99812316894531
515,48.3,66.89612579345703
516,48.3,58.488487243652344
517,48.0,56.88812255859375
